Types_of_fluid,mh,mc,Th1,Th2,Tc1,Tc2,c,h,Volume_Concentration,Size_of_Particle,Ultrasonication_time,Speed_of_Magnetic_Stirrer,R,LMTD,e,U0,V,Rec,Prc,NTU,Dec,Nuc,hc,Ch,Cc,Cmin,Qmax,Q
Water,0.083,0.066,74,66.4,34,37.58409091,8,3,0,0,0,0,0.79,32.94,0.19,259.71,0.85,14558.78,3.768,0.24,4906.98,66.87,4279.63,0.249,0.528,0.249,9.96,1.8924
Water,0.083,0.0833,74,67.2,34,36.03265306,10,3,0,0,0,0,0.99,33.25,0.17,276.96,1.06,18190.26,3.768,0.2,6130.96,74.75,4783.74,0.249,0.833,0.249,9.96,1.6932
Al2O3,0.083,0.0167,74,68.09799197,34,56,4,3,0.05,80,60,1500,0.17,26.05,0.55,198.42,0.21,3726.81,3.48,0.85,1256.09,33.56,2245.8,0.249,0.0668,0.0668,2.672,1.4696
Al2O3,0.083,0.033,74,64.72289157,34,48,5,3,0.05,80,60,1500,0.34,30.32,0.35,218.37,0.38,6694.82,3.48,0.47,2256.46,44.94,3010,0.249,0.165,0.165,6.6,2.31
Al2O3,0.083,0.05,74,63.2,34,41.68342857,7,3,0.05,80,60,1500,0.51,31.73,0.27,239.99,0.64,11158.03,3.48,0.34,3760.77,58.1,3885.97,0.249,0.35,0.249,9.96,2.6892
Al2O3,0.083,0.066,74,65.2,34,37.68888889,9,3,0.05,80,60,1500,0.69,32.43,0.22,259.62,0.85,14878.11,3.48,0.28,5014.61,67.06,4887.27,0.249,0.594,0.249,9.96,2.1912
Al2O3,0.083,0.0833,74,66.4,34,36.06526247,11,3,0.05,80,60,1500,0.86,32.69,0.19,281.5,1.06,18589.27,3.48,0.24,6265.44,74.96,5015.76,0.249,0.9163,0.249,9.96,1.8924
Al2O3,0.083,0.0167,74,62.46425703,34,68.4,5,3,0.25,80,60,1500,0.11,16.43,0.86,306.31,0.21,3929.46,2.74,2.1,1324.41,33.65,2568.43,0.249,0.0835,0.0835,3.34,2.8724
Al2O3,0.083,0.033,74,56.18795181,34,56.4,6,3,0.25,80,60,1500,0.21,25.61,0.56,255.78,0.38,7058.92,2.74,0.88,2379.18,45.11,3442.47,0.249,0.198,0.198,7.92,4.4352
Al2O3,0.083,0.05,74,55.6,34,45.454,8,3,0.25,80,60,1500,0.31,28.49,0.46,262.26,0.64,11764.86,2.74,0.6,3965.29,58.23,4444.21,0.249,0.4,0.249,9.96,4.5816
Al2O3,0.083,0.066,74,59.2,34,39.58363636,10,3,0.25,80,60,1500,0.43,29.41,0.37,289.88,0.85,15687.26,2.74,0.49,5287.33,67.24,5131.86,0.249,0.66,0.249,9.96,3.6852
Al2O3,0.083,0.0833,74,61.2,34,37.18847539,12,3,0.25,80,60,1500,0.53,30.26,0.32,303.77,1.06,19600.26,2.74,0.42,6606.19,75.16,5736.3,0.249,0.9996,0.249,9.96,3.1872
Al2O3,0.083,0.0167,74,59.03036145,34,71.2,6,3,0.5,80,60,1500,0.069,13.63,0.93,258.91,0.21,4053.85,2.47,2.73,1366.33,33.83,2864.12,0.249,0.1002,0.1002,4.008,3.72744
Al2O3,0.083,0.033,74,41.71566265,34,68.8,7,3,0.5,80,60,1500,0.14,16.17,0.87,407.98,0.38,7282.37,2.47,2.15,2454.49,45.34,3838.76,0.249,0.231,0.231,9.24,8.0388
Al2O3,0.083,0.05,74,47.6,34,48.608,9,3,0.5,80,60,1500,0.21,22.83,0.66,328.28,0.64,12137.27,2.47,1.16,4090.82,58.54,4955.02,0.249,0.45,0.249,9.96,6.5736
Al2O3,0.083,0.066,74,51.6,34,41.68264463,11,3,0.5,80,60,1500,0.28,24.97,0.56,340.14,0.85,16183.84,2.47,0.89,5454.69,67.59,5722.63,0.249,0.726,0.249,9.96,5.5776
Al2O3,0.083,0.0833,74,54.8,34,38.09946836,14,3,0.5,80,60,1500,0.35,26.52,0.48,346.69,1.06,20220.7,2.47,0.73,6815.31,75.56,6396.66,0.249,1.1662,0.249,9.96,4.7808
Water,0.083,0.0167,72,68.1549759,33,52.11,3,3,0,0,0,0,0.19,26.79,0.49,196.65,0.21,3646.79,3.768,0.72,1229.13,33.46,2141.92,0.249,0.0501,0.0501,1.9539,0.957411
Water,0.083,0.033,72,65.59084337,33,45.09,4,3,0,0,0,0,0.39,30.3,0.31,220.08,0.38,6551.12,3.768,0.4,2208.03,44.85,2870.82,0.249,0.132,0.132,5.148,1.59588
Water,0.083,0.05,72,62.64,33,40.7688,6,3,0,0,0,0,0.599,31.57,0.24,241.19,0.64,10918.54,3.768,0.29,3680.05,57.91,3706.21,0.249,0.3,0.249,9.711,2.33064
Water,0.083,0.066,72,64.2,33,36.67840909,8,3,0,0,0,0,0.79,31.94,0.2,267.84,0.85,14558.78,3.768,0.25,4906.98,66.87,4279.63,0.249,0.528,0.249,9.711,1.9422
Water,0.083,0.0833,72,64.98,33,35.09841537,10,3,0,0,0,0,0.99,32.45,0.18,290.87,1.06,18190.26,3.768,0.21,6130.96,74.75,4783.74,0.249,0.833,0.249,9.711,1.74798
Al2O3,0.083,0.0167,72,65.93166265,33,55.62,4,3,0.05,80,60,1500,0.17,24.84,0.58,211.8,0.21,3726.81,3.48,0.91,1256.09,33.56,2245.8,0.249,0.0668,0.0668,2.6052,1.511016
Al2O3,0.083,0.033,72,62.43795181,33,47.43,5,3,0.05,80,60,1500,0.34,29.2,0.37,228.34,0.38,6694.82,3.48,0.49,2256.46,44.94,3010,0.249,0.165,0.165,6.435,2.38095
Al2O3,0.083,0.05,72,61.86,33,40.21388571,7,3,0.05,80,60,1500,0.51,31.57,0.26,224.46,0.64,11158.03,3.48,0.32,3760.77,58.1,3885.97,0.249,0.35,0.249,9.711,2.52486
