Types_of_fluid,mh,mc,Th1,Th2,Tc1,Tc2,c,h,Volume_Concentration,Size_of_Particle,Ultrasonication_time,Speed_of_Magnetic_Stirrer,R,LMTD,e,U0,V,Rec,Prc,NTU,Dec,Nuc,hc,Ch,Cc,Cmin,Qmax,Q
Al2O3,0.083,0.033,76,62.6873494,35,55.09,5,3,0.25,80,60,1500,0.21,28.06,0.49,208.93,0.38,7058.92,2.74,0.72,2082.08,42.19,3220.37,0.249,0.165,0.165,6.765,3.31485
Al2O3,0.083,0.05,76,60.01,35,46.37574286,7,3,0.25,80,60,1500,0.31,30.24,0.39,229.33,0.64,11764.86,2.74,0.52,3470.14,54.47,4157.48,0.249,0.35,0.249,10.209,3.98151
Al2O3,0.083,0.066,76,62.47,35,40.67166667,9,3,0.25,80,60,1500,0.43,31.19,0.33,253.03,0.85,15687.26,2.74,0.43,4627.08,62.9,4800.76,0.249,0.594,0.249,10.209,3.36897
Al2O3,0.083,0.0833,76,64.11,35,38.23104878,11,3,0.25,80,60,1500,0.53,31.98,0.29,266.55,1.06,19600.26,2.74,0.37,5781.25,70.31,5366.2,0.249,0.9163,0.249,10.209,2.96061
Al2O3,0.083,0.0167,76,63.48841365,35,72.31,5,3,0.5,80,60,1500,0.069,14.83,0.91,238.98,0.21,4053.85,2.47,2.52,1195.71,31.64,2679.31,0.249,0.0835,0.0835,3.4235,3.115385
Al2O3,0.083,0.033,76,50.24409639,35,67.39,6,3,0.5,80,60,1500,0.14,19.39,0.79,316.5,0.38,7282.37,2.47,1.67,2147.99,42.42,3591.09,0.249,0.198,0.198,8.118,6.41322
Al2O3,0.083,0.05,76,51.81,35,50.058275,8,3,0.5,80,60,1500,0.21,25.15,0.59,275.33,0.64,12137.27,2.47,0.97,3579.98,54.76,4636.08,0.249,0.4,0.249,10.209,6.02331
Al2O3,0.083,0.066,76,55.91,35,42.57940909,10,3,0.5,80,60,1500,0.28,27.35,0.49,283.07,0.85,16183.84,2.47,0.75,4773.55,63.23,5353.42,0.249,0.66,0.249,10.209,5.00241
Al2O3,0.083,0.0833,76,58.37,35,39.39162665,12,3,0.5,80,60,1500,0.35,28.61,0.43,295.45,1.06,20220.7,2.47,0.62,5964.25,70.68,5983.96,0.249,0.9996,0.249,10.209,4.38987
Water,0.083,0.0167,74,71.74650602,34,50.8,2,3,0,80,0,0,0.19,29.57,0.42,154.6,0.21,3646.79,3.768,0.57,1075.65,31.31,2003.73,0.249,0.0334,0.0334,1.336,0.56112
Water,0.083,0.033,74,69.7060241,34,44.8,3,3,0,80,0,0,0.39,32.94,0.27,180.61,0.38,6551.12,3.768,0.33,1932.3,41.96,2685.59,0.249,0.099,0.099,3.96,1.0692
Water,0.083,0.05,74,65.6,34,42.3664,5,3,0,80,0,0,0.599,33.27,0.21,206.68,0.64,10918.54,3.768,0.25,3220.51,54.17,3467.09,0.249,0.25,0.249,9.96,2.0916
Water,0.083,0.066,74,66.8,34,37.88051948,7,3,0,80,0,0,0.79,33.53,0.18,233.49,0.85,14558.78,3.768,0.21,4294.23,62.56,4003.56,0.249,0.462,0.249,9.96,1.7928
Water,0.083,0.0833,74,68.4,34,35.85994398,9,3,0,80,0,0,0.99,35.15,0.14,229.04,1.06,18190.26,3.768,0.17,5365.37,69.92,4475.1,0.249,0.7497,0.249,9.96,1.3944
Al2O3,0.083,0.0167,74,70.13686747,34,53.2,3,3,0.05,80,60,1500,0.17,28.06,0.48,159.93,0.21,3726.81,3.48,0.68,1099.24,31.39,2100.91,0.249,0.0501,0.0501,2.004,0.96192
Al2O3,0.083,0.033,74,67.42650602,34,46.4,4,3,0.05,80,60,1500,0.34,31.48,0.31,185.45,0.38,6694.82,3.48,0.39,1974.69,42.08,2815.85,0.249,0.132,0.132,5.28,1.6368
Al2O3,0.083,0.05,74,64,34,42.3,6,3,0.05,80,60,1500,0.51,32.29,0.25,219.76,0.64,11158.03,3.48,0.31,3291.15,54.33,3635.25,0.249,0.3,0.249,9.96,2.49
Al2O3,0.083,0.066,74,65.2,34,38.15,8,3,0.05,80,60,1500,0.69,32.68,0.22,248.51,0.85,14878.11,3.48,0.27,4388.41,62.74,4197.73,0.249,0.528,0.249,9.96,2.1912
Al2O3,0.083,0.0833,74,66.4,34,36.27178872,10,3,0.05,80,60,1500,0.86,32.99,0.19,267.42,1.06,18589.27,3.48,0.23,5483.05,70.13,4692.15,0.249,0.833,0.249,9.96,1.8924
Al2O3,0.083,0.0167,74,65.52257028,34,65.6,4,3,0.25,80,60,1500,0.11,19.07,0.79,242.75,0.21,3929.46,2.74,1.67,1159.03,31.48,2402.72,0.249,0.0668,0.0668,2.672,2.11088
Al2O3,0.083,0.033,74,60.74698795,34,54,5,3,0.25,80,60,1500,0.21,27.03,0.5,216.87,0.38,7058.92,2.74,0.74,2082.08,42.19,3220.37,0.249,0.165,0.165,6.6,3.3
Al2O3,0.083,0.05,74,57.6,34,45.66742857,7,3,0.25,80,60,1500,0.31,28.95,0.41,244.87,0.64,11764.86,2.74,0.56,3470.14,54.47,4157.48,0.249,0.35,0.249,9.96,4.0836
Al2O3,0.083,0.066,74,60,34,39.86868687,9,3,0.25,80,60,1500,0.43,29.98,0.35,268.48,0.85,15687.26,2.74,0.46,4627.08,62.9,4800.76,0.249,0.594,0.249,9.96,3.486
Al2O3,0.083,0.0833,74,62.4,34,37.15224272,11,3,0.25,80,60,1500,0.53,30.77,0.29,282.79,1.06,19600.26,2.74,0.39,5781.25,70.31,5366.2,0.249,0.9163,0.249,9.96,2.8884
Al2O3,0.083,0.0167,74,61.5253012,34,71.2,5,3,0.5,80,60,1500,0.069,13.63,0.93,258.91,0.21,4053.85,2.47,2.73,1195.71,31.64,2679.31,0.249,0.0835,0.0835,3.34,3.1062
Al2O3,0.083,0.033,74,48.87228916,34,65.6,6,3,0.5,80,60,1500,0.14,19.01,0.79,314.75,0.38,7282.37,2.47,1.66,2147.99,42.42,3591.09,0.249,0.198,0.198,7.92,6.2568
Al2O3,0.083,0.05,74,49.6,34,49.189,8,3,0.5,80,60,1500,0.21,24.04,0.61,288.72,0.64,12137.27,2.47,1.02,3579.98,54.76,4636.08,0.249,0.4,0.249,9.96,6.0756
Al2O3,0.083,0.066,74,53.2,34,41.84727273,10,3,0.5,80,60,1500,0.28,26.04,0.52,302.85,0.85,16183.84,2.47,0.79,4773.55,63.23,5353.42,0.249,0.66,0.249,9.96,5.1792
Al2O3,0.083,0.0833,74,56,34,38.48379352,12,3,0.5,80,60,1500,0.35,27.49,0.45,310.78,1.06,20220.7,2.47,0.66,5964.25,70.68,5983.96,0.249,0.9996,0.249,9.96,4.482
Water,0.083,0.0167,72,69.80284337,33,49.38,2,3,0,0,0,0,0.19,28.65,0.42,156.68,0.21,3646.79,3.768,0.57,1075.65,31.31,2003.73,0.249,0.0334,0.0334,1.3026,0.547092
Water,0.083,0.033,72,67.65831325,33,43.92,3,3,0,0,0,0,0.39,31.19,0.28,193.71,0.38,6551.12,3.768,0.36,1932.3,41.96,2685.59,0.249,0.099,0.099,3.861,1.08108
Water,0.083,0.05,72,63.81,33,41.15724,5,3,0,0,0,0,0.599,32.37,0.21,209.06,0.64,10918.54,3.768,0.26,3220.51,54.17,3467.09,0.249,0.25,0.249,9.711,2.03931
Water,0.083,0.066,72,64.59,33,36.9937013,7,3,0,0,0,0,0.79,32.49,0.19,242.72,0.85,14558.78,3.768,0.22,4294.23,62.56,4003.56,0.249,0.462,0.249,9.711,1.84509
Water,0.083,0.0833,72,66.15,33,34.94297719,9,3,0,0,0,0,0.99,33.35,0.15,231.13,1.06,18190.26,3.768,0.17,5365.37,69.92,4475.1,0.249,0.7497,0.249,9.711,1.45665
Al2O3,0.083,0.0167,72,68.07650602,33,52.5,3,3,0.05,80,60,1500,0.17,26.81,0.5,171.27,0.21,3726.81,3.48,0.73,1099.24,31.39,2100.91,0.249,0.0501,0.0501,1.9539,0.97695
Al2O3,0.083,0.033,72,65.59084337,33,45.09,4,3,0.05,80,60,1500,0.34,30.63,0.31,186.85,0.38,6694.82,3.48,0.39,1974.69,42.08,2815.85,0.249,0.132,0.132,5.148,1.59588
Al2O3,0.083,0.05,72,61.86,33,41.4162,6,3,0.05,80,60,1500,0.51,31.19,0.26,230.85,0.64,11158.03,3.48,0.33,3291.15,54.33,3635.25,0.249,0.3,0.249,9.711,2.52486
Al2O3,0.083,0.066,72,63.03,33,37.23017045,8,3,0.05,80,60,1500,0.69,31.53,0.23,262.72,0.85,14878.11,3.48,0.28,4388.41,62.74,4197.73,0.249,0.528,0.249,9.711,2.23353
Al2O3,0.083,0.0833,72,64.59,33,35.214994,10,3,0.05,80,60,1500,0.86,32.09,0.19,270.97,1.06,18589.27,3.48,0.23,5483.05,70.13,4692.15,0.249,0.833,0.249,9.711,1.84509
Al2O3,0.083,0.0167,72,63.42062651,33,64.98,4,3,0.25,80,60,1500,0.11,17.86,0.82,259.22,0.21,3929.46,2.74,1.78,1159.03,31.48,2402.72,0.249,0.0668,0.0668,2.6052,2.136264
Al2O3,0.083,0.033,72,58.30301205,33,53.67,5,3,0.25,80,60,1500,0.21,25.65,0.53,234.05,0.38,7058.92,2.74,0.8,2082.08,42.19,3220.37,0.249,0.165,0.165,6.435,3.41055
Al2O3,0.083,0.05,72,55.62,33,44.6532,7,3,0.25,80,60,1500,0.31,27.78,0.42,259.22,0.64,11764.86,2.74,0.59,3470.14,54.47,4157.48,0.249,0.35,0.249,9.711,4.07862
Al2O3,0.083,0.066,72,58.35,33,38.7219697,9,3,0.25,80,60,1500,0.43,29.03,0.35,276.28,0.85,15687.26,2.74,0.47,4627.08,62.9,4800.76,0.249,0.594,0.249,9.711,3.39885
Al2O3,0.083,0.0833,72,59.91,33,36.2853978,11,3,0.25,80,60,1500,0.53,29.82,0.31,290.57,1.06,19600.26,2.74,0.39,5781.25,70.31,5366.2,0.249,0.9163,0.249,9.711,3.01041
Al2O3,0.083,0.0167,72,59.70638554,33,69.66,5,3,0.5,80,60,1500,0.069,13.09,0.94,266.58,0.21,4053.85,2.47,2.81,1195.71,31.64,2679.31,0.249,0.0835,0.0835,3.2565,3.06111
Al2O3,0.083,0.033,72,46.26,33,65.37,6,3,0.5,80,60,1500,0.14,17.21,0.83,358.86,0.38,7282.37,2.47,1.89,2147.99,42.42,3591.09,0.249,0.198,0.198,7.722,6.40926
Al2O3,0.083,0.05,72,47.43,33,48.294825,8,3,0.5,80,60,1500,0.21,23.07,0.63,302.47,0.64,12137.27,2.47,1.06,3579.98,54.76,4636.08,0.249,0.4,0.249,9.711,6.11793
Al2O3,0.083,0.066,72,51.33,33,40.79822727,10,3,0.5,80,60,1500,0.28,24.95,0.53,316.84,0.85,16183.84,2.47,0.84,4773.55,63.23,5353.42,0.249,0.66,0.249,9.711,5.14683
Al2O3,0.083,0.0833,72,53.67,33,37.5659964,12,3,0.5,80,60,1500,0.35,26.14,0.47,333.98,1.06,20220.7,2.47,0.7,5964.25,70.68,5983.96,0.249,0.9996,0.249,9.711,4.56417
Water,0.083,0.0167,70,67.70626506,32,49.1,2,3,0,0,0,0,0.19,27.36,0.45,168.6,0.21,3646.79,3.768,0.62,1075.65,31.31,2003.73,0.249,0.0334,0.0334,1.2692,0.57114
Water,0.083,0.033,70,65.76963855,32,42.64,3,3,0,0,0,0,0.39,30.39,0.28,192.54,0.38,6551.12,3.768,0.35,1932.3,41.96,2685.59,0.249,0.099,0.099,3.762,1.05336
Water,0.083,0.05,70,61.26,32,40.70504,5,3,0,0,0,0,0.599,30.97,0.23,231.76,0.64,10918.54,3.768,0.28,3220.51,54.17,3467.09,0.249,0.25,0.249,9.462,2.17626
Water,0.083,0.066,70,63.16,32,35.68649351,7,3,0,0,0,0,0.79,31.85,0.18,234.39,0.85,14558.78,3.768,0.21,4294.23,62.56,4003.56,0.249,0.462,0.249,9.462,1.70316
Al2O3,0.083,0.0167,70,66.17710843,32,51,3,3,0.05,80,60,1500,0.17,26,0.5,172.58,0.21,3726.81,3.48,0.74,1099.24,31.39,2100.91,0.249,0.0501,0.0501,1.9038,0.9519
Al2O3,0.083,0.033,70,63.35228916,32,44.54,4,3,0.05,80,60,1500,0.34,29.46,0.33,198.12,0.38,6694.82,3.48,0.42,1974.69,42.08,2815.85,0.249,0.132,0.132,5.016,1.65528
Al2O3,0.083,0.05,70,59.74,32,40.5158,6,3,0.05,80,60,1500,0.51,30.13,0.27,240.09,0.64,11158.03,3.48,0.34,3291.15,54.33,3635.25,0.249,0.3,0.249,9.462,2.55474
Al2O3,0.083,0.066,70,60.88,32,36.30090909,8,3,0.05,80,60,1500,0.69,30.37,0.24,278.02,0.85,14878.11,3.48,0.29,4388.41,62.74,4197.73,0.249,0.528,0.249,9.462,2.27088
Al2O3,0.083,0.0833,70,62.78,32,34.15819928,10,3,0.05,80,60,1500,0.86,30.99,0.19,284.67,1.06,18589.27,3.48,0.24,5483.05,70.13,4692.15,0.249,0.833,0.249,9.462,1.79778
Al2O3,0.083,0.0167,70,61.23283534,32,64.68,4,3,0.25,80,60,1500,0.11,15.99,0.86,296.45,0.21,3929.46,2.74,2.04,1159.03,31.48,2402.72,0.249,0.0668,0.0668,2.5384,2.183024
Al2O3,0.083,0.033,70,56.15060241,32,52.9,5,3,0.25,80,60,1500,0.21,24.45,0.55,249.54,0.38,7058.92,2.74,0.86,2082.08,42.19,3220.37,0.249,0.165,0.165,6.27,3.4485
Al2O3,0.083,0.05,70,53.28,32,43.89508571,7,3,0.25,80,60,1500,0.31,26.71,0.44,270.44,0.64,11764.86,2.74,0.62,3470.14,54.47,4157.48,0.249,0.35,0.249,9.462,4.16328
Al2O3,0.083,0.066,70,56.32,32,37.73454545,9,3,0.25,80,60,1500,0.43,28.17,0.36,280.13,0.85,15687.26,2.74,0.48,4627.08,62.9,4800.76,0.249,0.594,0.249,9.462,3.40632
Al2O3,0.083,0.0833,70,58.22,32,35.20115683,11,3,0.25,80,60,1500,0.53,28.82,0.31,300.68,1.06,19600.26,2.74,0.41,5781.25,70.31,5366.2,0.249,0.9163,0.249,9.462,2.93322
Al2O3,0.083,0.0167,70,58.02160643,32,67.72,5,3,0.5,80,60,1500,0.069,13.01,0.94,259.06,0.21,4053.85,2.47,2.73,1195.71,31.64,2679.31,0.249,0.0835,0.0835,3.173,2.98262
Al2O3,0.083,0.033,70,44.31566265,32,64.3,6,3,0.5,80,60,1500,0.14,15.99,0.85,381.95,0.38,7282.37,2.47,2.01,2147.99,42.42,3591.09,0.249,0.198,0.198,7.524,6.3954
Al2O3,0.083,0.05,70,45.3,32,47.37575,8,3,0.5,80,60,1500,0.21,21.53,0.65,328.74,0.64,12137.27,2.47,1.16,3579.98,54.76,4636.08,0.249,0.4,0.249,9.462,6.1503
Al2O3,0.083,0.066,70,49.48,32,39.74163636,10,3,0.5,80,60,1500,0.28,24.21,0.54,320.6,0.85,16183.84,2.47,0.89,4773.55,63.23,5353.42,0.249,0.66,0.249,9.462,5.10948
Al2O3,0.083,0.0833,70,51.76,32,36.54357743,12,3,0.5,80,60,1500,0.35,25.12,0.48,347.52,1.06,20220.7,2.47,0.73,5964.25,70.68,5983.96,0.249,0.9996,0.249,9.462,4.54176
